Capability	Template	Label	BERT	DistilBERT	RoBERTa-large	DeBERTa	RoBERTa-SNLI-MNLI-FEVER-ANLI	File
LEXICAL	P: {NAME} is {T0_ADJ}. H: {NAME} is {T0_SYN}.	entailment	73.70	71.00	86.40	88.30	78.10	lexical-1
LEXICAL	P: {NAME} is {T0_ADJ}. H: {NAME} is {T0_ANT}.	contradiction	87.40	83.50	94.20	95.60	93.80	lexical-2
LEXICAL	P: {NAME} is {ADJECTIVE_OF_PERSON}. H: {NAME} lives in {COUNTRY}.	neutral	96.80	99.50	99.30	92.40	99.50	lexical-3
LEXICAL	P: {NAME} is {ADJECTIVE_OF_PERSON}. H: {NAME} is {A} {PROFESSION}.	neutral	70.70	60.10	79.70	78.60	95.30	lexical-4
LEXICAL	P: {NAME} lives in {COUNTRY}. H: {NAME} is {ADJECTIVE_OF_PERSON}.	neutral	89.50	88.50	95.60	96.60	97.80	lexical-5
LEXICAL	P: {NAME} lives in {COUNTRY}. H: {NAME} is {A} {PROFESSION}.	neutral	98.20	94.90	100.00	100.00	99.90	lexical-6
LEXICAL	P: {NAME} is {A} {PROFESSION}. H: {NAME} lives in {COUNTRY}.	neutral	89.00	95.60	99.20	95.50	99.80	lexical-7
LEXICAL	P: {NAME} is {A} {PROFESSION}. H: {NAME} is {ADJECTIVE_OF_PERSON}.	neutral	46.60	43.60	58.40	74.60	88.80	lexical-8
LEXICAL	P: {NAME} was born in {COUNTRY1}. H: {NAME} is born in {COUNTRY2}.	contradiction	100.00	100.00	100.00	99.90	99.90	lexical-9
LEXICAL	P: {Capitalise(OBJECT)} is {COLOUR1} in colour. H: {Capitalise(OBJECT)} is {COLOUR2} in colour.	contradiction	99.50	99.40	97.10	94.70	98.60	lexical-10
LEXICAL	P: That animal is {A} {ANIMAL1}. H: That animal is {A} {ANIMAL2}.	contradiction	99.80	99.40	99.50	99.60	99.60	lexical-11
LEXICAL	P: {NAME} is eating {A} {FRUIT1}. H: {NAME} is eating {A} {FRUIT2}.	contradiction	98.70	95.90	96.50	97.70	97.10	lexical-12
SYNTACTIC	P: {NAME1} but not {NAME2} is {A} {PROFESSION}. H: {NAME1} is {A} {PROFESSION}.	entailment	94.30	85.40	100.00	99.90	100.00	syntactic-1
SYNTACTIC	P: Instead of {CONTINUOUS_VERB1} {NAME} is {CONTINUOUS_VERB2}. H: {NAME} is {CONTINUOUS_VERB2}.	entailment	100.00	99.60	100.00	100.00	100.00	syntactic-2
SYNTACTIC	P: Instead of {CONTINUOUS_VERB1} {NAME} is {CONTINUOUS_VERB2}. H: {NAME} is {CONTINUOUS_VERB1}.	contradiction	96.60	100.00	100.00	100.00	100.00	syntactic-3
SYNTACTIC	P: {NAME1} is {A} {PROFESSION} and {NAME2} is too. H: {NAME2} is {A} {PROFESSION}.	entailment	100.00	100.00	100.00	100.00	100.00	syntactic-4
SYNTACTIC	P: {NAME1} is {A} {PROFESSION} and {NAME2} is too. H: {NAME2} is not {A} {PROFESSION}.	contradiction	100.00	100.00	100.00	100.00	100.00	syntactic-5
SYNTACTIC	P: {NAME1} is {CONTINUOUS_VERB} and so is {NAME2}. H: {NAME2} is {CONTINUOUS_VERB}.	entailment	99.40	99.80	100.00	100.00	100.00	syntactic-6
SYNTACTIC	P: {NAME1} is {CONTINUOUS_VERB} and so is {NAME2}. H: {NAME2} is not {CONTINUOUS_VERB}.	contradiction	100.00	100.00	100.00	100.00	100.00	syntactic-7
SYNTACTIC	P: {NAME} tried but wasn't able to {VERB}. H: {NAME} tried to {VERB}.	entailment	59.10	22.70	100.00	100.00	100.00	syntactic-8
SYNTACTIC	P: {NAME} tried but wasn't able to {VERB}. H: {NAME} didn't try to {VERB}.	contradiction	94.90	9.70	100.00	100.00	100.00	syntactic-9
NEGATION	P: {NAME} is {A} {PROFESSION}. H: {NAME} is not {A} {PROFESSION}.	contradiction	100.00	100.00	100.00	100.00	100.00	negation-1
NEGATION	P: {NAME1} but not {NAME2} is {A} {PROFESSION}. H: {NAME2} is {A} {PROFESSION}.	contradiction	22.50	31.70	19.20	82.60	98.90	negation-2
NEGATION	P: {NAME1} is {A} {PROFESSION} but {NAME2} is not. H: {NAME2} is {A} {PROFESSION}.	contradiction	100.00	97.30	100.00	99.90	100.00	negation-3
NEGATION	P: {NAME} {T5_V5VERB} {T5_OBJECT}. H: {NAME} does not {T5_VERB} {T5_OBJECT}.	contradiction	100.00	100.00	100.00	100.00	100.00	negation-4
NEGATION	P: {NAME} {T5_V5VERB} {T5_OBJECT}. H: {NAME} never {T5_V5VERB} {T5_OBJECT}.	contradiction	100.00	100.00	100.00	100.00	100.00	negation-5
NEGATION	P: {NAME} {T5_V5VERB} {T5_OBJECT}. H: {NAME} {NEGATION_ADVERB} {T5_VERB} {T5_OBJECT}.	contradiction	63.30	79.80	45.40	44.60	36.90	negation-6
NEGATION	P: Does {NAME} {T5_VERB} {T5_OBJECT}? No. H: {NAME} {T5_V5VERB} {T5_OBJECT}.	contradiction	35.70	42.20	100.00	100.00	100.00	negation-7
NEGATION	P: Does {NAME} {T5_VERB} {T5_OBJECT}? No. H: {NAME} does not {T5_VERB} {T5_OBJECT}.	entailment	91.20	45.90	100.00	100.00	100.00	negation-8
BOOLEAN	P: {NAME} is {ADJECTIVE_OF_PERSON1} and {ADJECTIVE_OF_PERSON2}. H: {NAME} is {ADJECTIVE_OF_PERSON1}.	entailment	100.00	99.90	100.00	100.00	100.00	boolean-1
BOOLEAN	P: {NAME} is {ADJECTIVE_OF_PERSON1} and {ADJECTIVE_OF_PERSON2}. H: {NAME} is {ADJECTIVE_OF_PERSON2}.	entailment	99.60	97.00	99.80	99.10	100.00	boolean-2
BOOLEAN	P: {NAME1} and {NAME2} are {ADJECTIVE_OF_PERSON}. H: {NAME1} is {ADJECTIVE_OF_PERSON}.	entailment	100.00	100.00	100.00	100.00	100.00	boolean-3
BOOLEAN	P: {NAME1} and {NAME2} are {ADJECTIVE_OF_PERSON}. H: {NAME2} is {ADJECTIVE_OF_PERSON}.	entailment	100.00	100.00	100.00	100.00	100.00	boolean-4
BOOLEAN	P: {NAME} is {ADJECTIVE_OF_PERSON1}, {ADJECTIVE_OF_PERSON2} and {ADJECTIVE_OF_PERSON3}. H: {NAME} is {ADJECTIVE_OF_PERSON1}.	entailment	100.00	100.00	100.00	100.00	100.00	boolean-5
BOOLEAN	P: {NAME} is {ADJECTIVE_OF_PERSON1}, {ADJECTIVE_OF_PERSON2} and {ADJECTIVE_OF_PERSON3}. H: {NAME} is {ADJECTIVE_OF_PERSON2}.	entailment	99.70	96.10	99.60	99.60	100.00	boolean-6
BOOLEAN	P: {NAME} is {ADJECTIVE_OF_PERSON1}, {ADJECTIVE_OF_PERSON2} and {ADJECTIVE_OF_PERSON3}. H: {NAME} is {ADJECTIVE_OF_PERSON3}.	entailment	99.70	95.60	99.90	99.00	100.00	boolean-7
BOOLEAN	P: {NAME1}, {NAME2} and {NAME3} are {ADJECTIVE_OF_PERSON}. H: {NAME1} is {ADJECTIVE_OF_PERSON}.	entailment	100.00	100.00	100.00	100.00	100.00	boolean-8
BOOLEAN	P: {NAME1}, {NAME2} and {NAME3} are {ADJECTIVE_OF_PERSON}. H: {NAME2} is {ADJECTIVE_OF_PERSON}.	entailment	99.90	99.90	100.00	100.00	99.90	boolean-9
BOOLEAN	P: {NAME1}, {NAME2} and {NAME3} are {ADJECTIVE_OF_PERSON}. H: {NAME3} is {ADJECTIVE_OF_PERSON}.	entailment	100.00	100.00	100.00	100.00	100.00	boolean-10
BOOLEAN	P: {NAME1} or {NAME2} are {ADJECTIVE_OF_PERSON}. H: {NAME1} is {ADJECTIVE_OF_PERSON}.	neutral	0.00	0.00	0.10	1.90	0.00	boolean-11
BOOLEAN	P: {NAME1} or {NAME2} are {ADJECTIVE_OF_PERSON}. H: {NAME2} is {ADJECTIVE_OF_PERSON}.	neutral	0.00	0.00	0.10	0.10	0.00	boolean-12
BOOLEAN	P: {NAME} is {ADJECTIVE_OF_PERSON1} and {ADJECTIVE_OF_PERSON2}. H: {NAME} is {ADJECTIVE_OF_PERSON2} and {ADJECTIVE_OF_PERSON1}.	entailment	99.20	100.00	99.90	100.00	100.00	boolean-13
BOOLEAN	P: {NAME1} and {NAME2} are {ADJECTIVE_OF_PERSON}. H: {NAME2} and {NAME1} are {ADJECTIVE_OF_PERSON}.	entailment	100.00	100.00	100.00	100.00	100.00	boolean-14
BOOLEAN	P: {NAME} is {ADJECTIVE_OF_PERSON1}. {NAME} is {ADJECTIVE_OF_PERSON2}. H: {NAME} is {ADJECTIVE_OF_PERSON1} and {ADJECTIVE_OF_PERSON2}.	entailment	100.00	100.00	100.00	100.00	100.00	boolean-15
